id,domain,component,file_path,line_number,bug_type,severity,description,proposed_fix
PBC-001,presentation_L6,JsonSerializer,src/presentation/codecs/json_serializer.py,54-57 + 83-86,design_flaw,high,"JsonSerializer.serialize rejects non-BaseModel objects (line 54-57: isinstance check raises PresentationError). JsonSerializer.deserialize requires target_type as BaseModel subclass (line 83-86: issubclass check raises). Pipeline.decode_stream at pipeline.py:183 passes target_type=Any which fails the issubclass check, causing crash when using serializer-only (no stream_codec) configuration. Blocks passing plain dict/list/str through the pipeline.","Modify JsonSerializer.serialize to accept dict via json.dumps with BaseModel path via model_dump_json. Modify JsonSerializer.deserialize: if target_type is None or not a BaseModel subclass, return json.loads(data) as raw dict. Fix pipeline.py:183 to detect and handle non-BaseModel target_type gracefully."
PBC-002,presentation_L6,CompressionAdapter,src/presentation/codecs/compression.py,54-67,design_flaw,high,"CompressionAdapter.decompress uses self.algorithm unconditionally without inspecting actual compression of the data. If payload was compressed with gzip but CompressionAdapter initialized with ZSTD, decompress either fails (wrong magic bytes) or produces corrupted data. Pipeline._MAGIC_GZIP and _MAGIC_ZSTD are defined (pipeline.py:43-44) but never used for algorithm detection in decompression.","Add magic-byte detection in CompressionAdapter.decompress: check first 2-4 bytes for gzip (1f8b) or zstd (28b52ffd) and select the correct decompression method automatically. Remove decompress dependency on self.algorithm."
PBC-003,presentation_L6,PresentationPipeline,src/presentation/pipeline.py,148-161 + 183,design_flaw,high,"StreamCodec and Serializer coexistence is ambiguous. In encode_stream (line 152): raw = serializer.serialize(obj) if serializer and not codec else obj -- serializer is bypassed when codec exists. In decode_stream (line 183): serializer.deserialize(data, target_type=Any) is called when no codec present, but Any fails BaseModel issubclass check in JsonSerializer. No documented strategy for which component owns framing vs translation.","Document explicit strategy: (1) if stream_codec present, it owns framing and serializer is used per-element inside codec; (2) if serializer only, stream wrapping occurs in pipeline; (3) fix decode_stream to not pass target_type=Any; (4) add clear branching logic with docstrings."
PBC-004,presentation_L6,PresentationPipeline,src/presentation/pipeline.py,138-161,incomplete_implementation,medium,"encode_stream does not compress individual frames -- self.compressor is never called in the stream encoding path (lines 138-161). However decode_stream at line 177 attempts self.compressor.decompress(frame) on incoming frames. This asymmetry means: encoded streams are sent uncompressed while decode assumptions about compression cause failures or no-ops. Streaming efficiency is 0% of potential compression gain.","Add per-chunk compression in encode_stream with algorithm declared in SSE header or metadata. Add explicit X-Compression field in first frame header. Synchronize encode/decode stream behavior: either both compress or neither does."
PBC-005,presentation_L6,PresentationPipeline,src/presentation/pipeline.py,141-143,bug,medium,"Bypass mode in encode_stream (line 141-143) assumes any non-bytes chunk is a str and calls chunk.encode(self.config.charset). If chunk is dict, list, int, float, or None, this raises AttributeError: 'X' object has no attribute 'encode'. Bypass mode is used for INPROCESS direction where payloads are often dict or BaseModel objects.","Add isinstance(chunk, str) guard before .encode() call. For non-str/non-bytes types, use json.dumps() or str() as fallback with a debug log. Raise PresentationError with clear message only if all conversions fail."
PBC-006,presentation_L6,PresentationPipeline,src/presentation/pipeline.py,156,design_flaw,low,"encode_stream wraps each object in _single_item_stream (line 156) creating N separate async generators (one per element) instead of passing the original obj_stream directly to codec.encode_stream. For long streams (millions of items), this generates unnecessary async generator creation/destruction overhead. Also prevents stream codec from seeing the full stream for buffering or batching optimizations.","Remove _single_item_stream wrapper. Pass obj_stream directly to codec.encode_stream after optional per-element serialization. If serializer is needed, apply it inside the stream iteration before yielding to codec."
PBC-007,presentation_L6,build_presentation_pipeline,src/wiring/factories/presentation_provider.py,75-77,design_flaw,low,"The bypass_inprocess parameter in build_presentation_pipeline is dead config. Lines 75-77 only execute a debug log statement when bypass_inprocess is True and direction is INPROCESS. The actual bypass decision is made independently by PresentationPipeline._is_bypass() (pipeline.py:64-68) which checks Direction.INPROCESS without consulting any config flag. Users setting bypass_inprocess=False expect bypass to be disabled but it remains active.","Remove bypass_inprocess parameter from build_presentation_pipeline entirely, or wire it into PipelineConfig as a real flag that _is_bypass() checks, centralizing all bypass decisions in the pipeline itself."
PBC-008,presentation_L6,SSEStreamCodec,src/presentation/codecs/sse_stream_codec.py,49 + 86-93,incomplete_implementation,medium,"SSEStreamCodec only handles 'data:' fields. encode_stream (line 49) emits only 'data: ...\n\n' without event:/id:/retry: fields defined in W3C SSE spec. _parse_sse_frame (lines 86-93) only collects lines starting with 'data:' and ignores event:/id:/retry: boundary fields. This breaks compatibility with standard EventSource API clients that rely on event type routing (e.g., chat.completion vs error events).","Add event_type and event_id parameters to encode_stream yielding 'event: {type}\ndata: {data}\nid: {id}\n\n'. Update _parse_sse_frame to collect event:/id:/retry: fields into a unified dict {data, event, id, retry}. Maintain backward compatibility by returning just data string when no event/id fields present."
PBC-009,presentation_L6,SSEStreamCodec,src/presentation/codecs/sse_stream_codec.py,44-45,bug,low,"SSEStreamCodec.encode_stream calls json.dumps(obj) directly at line 45 on non-bytes objects when auto_json=True. If obj contains non-serializable types (Callable, set, datetime, complex, custom objects), json.dumps raises TypeError. This crashes the entire stream encode for a single bad object with no fallback.","Wrap json.dumps in try/except TypeError. On failure, attempt str(obj) then repr(obj) as progressive fallbacks. Log the serialization failure at warning level. Auto_json=False already bypasses this by using str(obj) directly."
PBC-010,presentation_L6,PresentationPipeline,src/presentation/pipeline.py,177,design_flaw,low,"decode_stream at line 177 decompresses the frame then passes decompressed data to codec.decode_stream for further processing. However encode_stream never compressed frames (PBC-004), so the decompression operates on already-decoded stream data. The _is_compressed guard prevents decompression of non-compressed data, but magic bytes could coincidentally match at the start of any binary payload, causing corruption. If stream-level compression is later added without synchronizing both paths, data corruption is guaranteed.","Add explicit X-Compression header in the first frame of any SSE stream to declare whether the entire stream is compressed. decode_stream checks this header instead of magic-byte guessing. Fully synchronize encode_stream and decode_stream on compression behavior (both compress or neither)."
PBC-011,presentation_L6,CompressionAdapter,src/presentation/codecs/compression.py,41-52 + 54-67,incomplete_implementation,low,"CompressionAdapter.compress on empty b'' input produces non-zero output (gzip generates 20-byte header+footer for empty input), bloating zero-length payloads to 20 bytes. CompressionAdapter.decompress has no dedicated handling for truncated or corrupted data; gzip.BadGzipFile and zstandard.ZstdError exceptions are caught by the generic 'except Exception' block instead of being explicitly handled with context-specific error messages.","Add early return b'' if len(data) == 0 in both compress and decompress. Add explicit except clauses for gzip.BadGzipFile and zstandard.ZstdError before the generic except to provide specific corruption diagnostics."
PBC-012,presentation_L6,build_compressor,src/wiring/factories/presentation_provider.py,27,bug,high,"build_compressor at line 27 calls CompressionAdapter(method=compressor_name) but CompressionAdapter.__init__ (compression.py:33) expects the parameter name 'algorithm', not 'method'. This raises TypeError which is caught by the generic except block (line 28-29), logging a warning and returning None. Result: compressors are always None across the entire fabric, silently disabling all compression in both outbound and inbound pipelines. No crash but complete loss of compression functionality.","Change CompressionAdapter(method=compressor_name) to CompressionAdapter(algorithm=CompressionAlgorithm(compressor_name)). Also add explicit CompressionAlgorithm string-to-enum conversion since compressor_name is a str from config."
