element_number,element_name,full_path,classification,development_state,architectural_state,required_concerns
0.1.1.f,__init__.py,network/__init__.py,Exists,production-grade,current,
0.1.2.f,protocol.py,network/protocol.py,Exists,production-grade,current,
0.1.1.1.f,__init__.py,network/adapters/__init__.py,Exists,production-grade,current,
0.1.1.2.f,config_resolver.py,network/adapters/config_resolver.py,Exists,production-grade,current,
0.1.1.3.f,dns_resolver.py,network/adapters/dns_resolver.py,Exists,production-grade,current,
0.1.1.4.f,pool_adapter.py,network/adapters/pool_adapter.py,Exists,production-grade,current,
0.1.1.5.f,router_adapter.py,network/adapters/router_adapter.py,Exists,production-grade,current,
0.1.2.1.f,__init__.py,network/algorithms/__init__.py,Exists,production-grade,current,
0.1.2.2.f,least_active.py,network/algorithms/least_active.py,Exists,production-grade,current,
0.1.2.3.f,round_robin.py,network/algorithms/round_robin.py,Exists,production-grade,current,
0.1.3.1.f,__init__.py,network/resilience/__init__.py,Exists,production-grade,current,
0.1.3.2.f,circuit_breaker.py,network/resilience/circuit_breaker.py,Exists,production-grade,current,
0.2.1.f,__init__.py,transport/__init__.py,Exists,production-grade,current,
0.2.2.f,_ws_framing.py,transport/_ws_framing.py,Exists,production-grade,current,
0.2.3.f,_ws_keepalive.py,transport/_ws_keepalive.py,Exists,production-grade,current,
0.2.4.f,base.py,transport/base.py,Exists,production-grade,current,
0.2.5.f,composite.py,transport/composite.py,Exists,production-grade,current,
0.2.6.f,consumer_example.py,transport/consumer_example.py,Exists,production-grade,current,
0.2.7.f,factory.py,transport/factory.py,Exists,production-grade,current,
0.2.8.f,inprocess.py,transport/inprocess.py,Exists,production-grade,current,
0.2.9.f,retry.py,transport/retry.py,Exists,production-grade,current,
0.2.10.f,subprocess.py,transport/subprocess.py,Exists,production-grade,current,
0.2.11.f,tcp.py,transport/tcp.py,Exists,production-grade,current,
0.2.12.f,transport_example.yaml,transport/transport_example.yaml,Exists,production-grade,current,
0.2.13.f,uds.py,transport/uds.py,Exists,production-grade,current,
0.2.14.f,websocket.py,transport/websocket.py,Exists,production-grade,current,
0.2.1.1.f,__init__.py,transport/channel/__init__.py,Exists,production-grade,current,
0.2.1.2.f,channel.py,transport/channel/channel.py,Exists,production-grade,current,
0.2.1.3.f,protocol.py,transport/channel/protocol.py,Exists,production-grade,current,
0.2.1.4.f,types.py,transport/channel/types.py,Exists,production-grade,current,
0.2.2.1.f,__init__.py,transport/config/__init__.py,Exists,production-grade,current,
0.2.2.2.f,transport_config.py,transport/config/transport_config.py,Exists,production-grade,current,
0.2.3.1.f,__init__.py,transport/context/__init__.py,Exists,production-grade,current,
0.2.3.2.f,retry_hook.py,transport/context/retry_hook.py,Exists,production-grade,current,
0.2.3.3.f,transport_context.py,transport/context/transport_context.py,Exists,production-grade,current,
0.3.1.f,ICheckpointSync.py,session/ICheckpointSync.py,Exists,production-grade,current,
0.3.2.f,ISessionLifecycle.py,session/ISessionLifecycle.py,Exists,production-grade,current,
0.3.3.f,__init__.py,session/__init__.py,Exists,production-grade,current,
0.3.4.f,coordinator.py,session/coordinator.py,Exists,production-grade,current,
0.3.5.f,factory.py,session/factory.py,Exists,production-grade,current,
0.3.6.f,protocol.py,session/protocol.py,Exists,production-grade,current,
0.3.7.f,session_dispatcher.py,session/session_dispatcher.py,Exists,production-grade,current,
0.3.8.f,session_registry.py,session/session_registry.py,Exists,production-grade,current,
0.3.1.1.f,cli_session.py,session/adapters/cli_session.py,Exists,production-grade,current,
0.3.1.2.f,inprocess_session.py,session/adapters/inprocess_session.py,Exists,production-grade,current,
0.3.1.3.f,network_session.py,session/adapters/network_session.py,Exists,production-grade,current,
0.3.2.1.f,retry_hooks.py,session/hooks/retry_hooks.py,Exists,production-grade,current,
0.4.1.f,__init__.py,presentation/__init__.py,Exists,production-grade,current,
0.4.2.f,pipeline.py,presentation/pipeline.py,Exists,production-grade,current,
0.4.3.f,protocol.py,presentation/protocol.py,Exists,production-grade,current,
0.4.4.f,request_types.py,presentation/request_types.py,Exists,production-grade,current,
0.4.1.1.f,__init__.py,presentation/codecs/__init__.py,Exists,production-grade,current,
0.4.1.2.f,compression.py,presentation/codecs/compression.py,Exists,production-grade,current,
0.4.1.3.f,json_serializer.py,presentation/codecs/json_serializer.py,Exists,production-grade,current,
0.4.1.4.f,sse_stream_codec.py,presentation/codecs/sse_stream_codec.py,Exists,production-grade,current,
0.5.1.f,__init__.py,protocols/__init__.py,Exists,production-grade,current,
0.5.2.f,cli_handler.py,protocols/cli_handler.py,Exists,production-grade,current,
0.5.3.f,error_mapper.py,protocols/error_mapper.py,Exists,production-grade,current,
0.5.4.f,graphql_handler.py,protocols/graphql_handler.py,Exists,production-grade,current,
0.5.5.f,grpc_handler.py,protocols/grpc_handler.py,Exists,production-grade,current,
0.5.6.f,http_handler.py,protocols/http_handler.py,Exists,production-grade,current,
0.5.7.f,inprocess_handler.py,protocols/inprocess_handler.py,Exists,production-grade,current,
0.5.8.f,local_ipc_handler.py,protocols/local_ipc_handler.py,Exists,production-grade,current,
0.5.9.f,protocol.py,protocols/protocol.py,Exists,production-grade,current,
0.5.10.f,webhook_handler.py,protocols/webhook_handler.py,Exists,production-grade,current,
0.6.1.f,assembler.py,wiring/assembler.py,Exists,production-grade,current,
0.6.2.f,runner.py,wiring/runner.py,Exists,production-grade,current,
0.6.1.1.f,fabric_health.py,wiring/adapters/fabric_health.py,Exists,production-grade,current,
0.6.2.1.f,loader.py,wiring/config/loader.py,Exists,production-grade,current,
0.6.2.2.f,transport_example.yaml,wiring/config/transport_example.yaml,Exists,production-grade,current,
0.6.3.1.f,communication_gateway.py,wiring/contracts/communication_gateway.py,Exists,production-grade,current,
0.6.4.1.f,network_provider.py,wiring/factories/network_provider.py,Exists,production-grade,current,
0.6.4.2.f,presentation_provider.py,wiring/factories/presentation_provider.py,Exists,production-grade,current,
0.6.4.3.f,protocol_provider.py,wiring/factories/protocol_provider.py,Exists,production-grade,current,
0.6.4.4.f,session_provider.py,wiring/factories/session_provider.py,Exists,production-grade,current,
0.6.4.5.f,transport_provider.py,wiring/factories/transport_provider.py,Exists,production-grade,current,
0.6.5.1.f,__init__.py,wiring/pipelines/__init__.py,Exists,production-grade,current,
0.6.5.2.f,base.py,wiring/pipelines/base.py,Exists,production-grade,current,
0.6.5.3.f,inbound.py,wiring/pipelines/inbound.py,Exists,production-grade,current,
0.6.5.4.f,outbound.py,wiring/pipelines/outbound.py,Exists,production-grade,current,
0.6.6.1.f,__init__.py,wiring/registry/__init__.py,Exists,production-grade,current,
0.6.6.2.f,layer_registry.py,wiring/registry/layer_registry.py,Exists,production-grade,current,
0.6.6.3.f,pipeline_registry.py,wiring/registry/pipeline_registry.py,Exists,production-grade,current,
0.7.1.f,__init__.py,application/__init__.py,Exists,production-grade,current,
0.7.2.f,fastapi_router.py,application/fastapi_router.py,Exists,production-grade,current,
0.0.1.f,main.py,main.py,Exists,production-grade,current,
0.1.1.6.f,periodic_health_checker.py,network/adapters/periodic_health_checker.py,To_Be_Implemented,not_started,current,NET-006
0.1.2.4.f,weighted_round_robin.py,network/algorithms/weighted_round_robin.py,To_Be_Implemented,not_started,current,NET-005
0.1.2.5.f,random_strategy.py,network/algorithms/random_strategy.py,To_Be_Implemented,not_started,current,NET-005
0.1.2.6.f,latency_aware_strategy.py,network/algorithms/latency_aware_strategy.py,To_Be_Implemented,not_started,current,NET-005
0.2.15.f,backpressure.py,transport/backpressure.py,To_Be_Implemented,not_started,current,TRN-002
0.2.16.f,heartbeat.py,transport/heartbeat.py,To_Be_Implemented,not_started,current,TRN-003
0.2.17.f,large_payload_handler.py,transport/large_payload_handler.py,To_Be_Implemented,not_started,current,TRN-004
0.3.3.1.f,__init__.py,session/distributed/__init__.py,To_Be_Implemented,not_started,current,SES-004
0.3.3.2.f,redis_registry.py,session/distributed/redis_registry.py,To_Be_Implemented,not_started,current,SES-004
0.3.3.3.f,redis_dispatcher.py,session/distributed/redis_dispatcher.py,To_Be_Implemented,not_started,current,SES-004
0.4.1.5.f,protobuf_serializer.py,presentation/codecs/protobuf_serializer.py,To_Be_Implemented,not_started,current,PMC-001
0.4.1.6.f,msgpack_serializer.py,presentation/codecs/msgpack_serializer.py,To_Be_Implemented,not_started,current,PMC-002
0.4.1.7.f,cbor_serializer.py,presentation/codecs/cbor_serializer.py,To_Be_Implemented,not_started,current,PMC-003
0.4.1.8.f,avro_serializer.py,presentation/codecs/avro_serializer.py,To_Be_Implemented,not_started,current,PMC-004
0.4.1.9.f,content_type_analyzer.py,presentation/codecs/content_type_analyzer.py,To_Be_Implemented,not_started,current,PMC-005
0.4.1.10.f,snappy_compression.py,presentation/codecs/snappy_compression.py,To_Be_Implemented,not_started,current,PMC-006
0.4.1.11.f,encryption.py,presentation/codecs/encryption.py,To_Be_Implemented,not_started,current,SEC-003
0.4.1.12.f,validator.py,presentation/codecs/validator.py,To_Be_Implemented,not_started,current,SEC-005
0.5.11.f,websocket_handler.py,protocols/websocket_handler.py,To_Be_Implemented,not_started,current,MPC-001
0.5.12.f,factory.py,protocols/factory.py,To_Be_Implemented,not_started,current,MPC-002
0.5.13.f,error_response.py,protocols/error_response.py,To_Be_Implemented,not_started,current,OBS-007
0.6.2.3.f,structured_logger.py,wiring/config/structured_logger.py,To_Be_Implemented,not_started,current,OBS-001
0.6.2.4.f,otel_tracer.py,wiring/config/otel_tracer.py,To_Be_Implemented,not_started,current,OBS-002
L1.2.5.1.f,security_logger.py,security/logging/logger.py,To_Be_Implemented,not_started,current,SEC-006
L1.2.7.1.f,certificate_manager.py,security/pki/certificate_manager.py,To_Be_Implemented,not_started,current,SEC-009
0.6.4.6.f,metrics_endpoint.py,wiring/factories/metrics_endpoint.py,To_Be_Implemented,not_started,current,OBS-003
0.7.3.f,fabric_service.py,application/fabric_service.py,To_Be_Implemented,not_started,current,GWY-001
0.7.4.f,remote_adapter.py,application/remote_adapter.py,To_Be_Implemented,not_started,current,GWY-002
0.8.1.f,base_actor.py,actors/base_actor.py,To_Be_Implemented,not_started,current,MC-TST-008
L1.0.1.1.f,test_network.py,tests/test_network.py,To_Be_Implemented,not_started,current,MC-TST-001
L1.0.1.2.f,test_transport.py,tests/test_transport.py,To_Be_Implemented,not_started,current,MC-TST-002
L1.0.1.3.f,test_session.py,tests/test_session.py,To_Be_Implemented,not_started,current,MC-TST-003
L1.0.1.4.f,test_presentation.py,tests/test_presentation.py,To_Be_Implemented,not_started,current,MC-TST-004
L1.0.1.5.f,test_protocols.py,tests/test_protocols.py,To_Be_Implemented,not_started,current,MC-TST-005
L1.0.1.6.f,test_wiring.py,tests/test_wiring.py,To_Be_Implemented,not_started,current,MC-TST-006
L1.1.2.1.f,Dockerfile,Dockerfile,To_Be_Implemented,not_started,current,MC-TST-007
L1.1.2.2.f,docker-compose.yml,docker-compose.yml,To_Be_Implemented,not_started,current,MC-TST-008
L1.1.3.1.f,pytest.ini,pytest.ini,To_Be_Implemented,not_started,current,MC-TST-009
L1.1.3.2.f,pyproject.toml,pyproject.toml,To_Be_Implemented,not_started,current,MC-TST-010
L1.1.3.3.f,requirements.txt,requirements.txt,To_Be_Implemented,not_started,current,MC-TST-011
L1.1.3.4.f,requirements-dev.txt,requirements-dev.txt,To_Be_Implemented,not_started,current,MC-TST-012
L1.1.4.1.f,ci.yml,.github/workflows/ci.yml,To_Be_Implemented,not_started,current,MC-TST-013
L1.2.2.1.f,security_gateway.py,security/auth/security_gateway.py,To_Be_Implemented,not_started,current,SEC-002
